tsId;databaseName;timeseriesUnit;raster
dwd_pollenflug_#Roggen#_#Oberrhein_und_unteres_Neckartal#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Hohenlohe_mittlerer_Neckar_Oberschwaben#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Mittelgebirge_Baden-Wuerttemberg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Bayern_noerdl._der_Donau_ohne_Bayr._Wald_und_ohne_Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Allgaeu_Oberbayern_Bay._Wald#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Donauniederungen#;AllergieDaten;STATUS;PT1D


dwd_pollenflug_#Beifuss#_#Inseln_und_Marschen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Geest_Schleswig-Holstein_und_Hamburg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Mecklenburg-Vorpommern#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Westl._Niedersachsen_Bremen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#oestl._Niedersachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Rhein.-Westfael._Tiefland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Ostwestfalen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Mittelgebirge_NRW#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Harz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Tiefland_Sachsen-Anhalt#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Brandenburg_und_Berlin#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Tiefland_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Mittelgebirge_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Tiefland_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Mittelgebirge_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Mittelgebirgsbereich_Rheinland-Pfalz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Rhein_Pfalz_Nahe_und_Mosel#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Saarland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Nordhessen_und_hess._Mittelgebirge#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Rhein-Main#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Oberrhein_und_unteres_Neckartal#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Hohenlohe_mittlerer_Neckar_Oberschwaben#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Mittelgebirge_Baden-Wuerttemberg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Bayern_noerdl._der_Donau_ohne_Bayr._Wald_und_ohne_Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Allgaeu_Oberbayern_Bay._Wald#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Beifuss#_#Donauniederungen#;AllergieDaten;STATUS;PT1D


dwd_pollenflug_#Ambrosia#_#Allgaeu_Oberbayern_Bay._Wald#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Geest_Schleswig-Holstein_und_Hamburg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Mittelgebirge_NRW#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Mittelgebirge_Baden-Wuerttemberg#;AllergieDaten;STATUS;PT1D

dwd_pollenflug_#Ambrosia#_#Inseln_und_Marschen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Mecklenburg-Vorpommern#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Westl._Niedersachsen_Bremen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#oestl._Niedersachsen#;AllergieDaten;STATUS;PT1D
